word_id,example_phrase_english,example_phrase_polish,example_sentence_english,explanation
295,The perpetrator was caught.,Sprawca został złapany.,The police were still looking for the perpetrator of the crime.,"A person who commits a crime or wrongdoing, particularly one who is responsible for causing harm or damage to others."
296,The car was zigzagging down the road.,Samochód zygzakował po drodze.,The hiker followed the zigzagging trail up the mountain.,"To move or proceed in a zigzag pattern, often in order to avoid obstacles or confusion."
297,The alleged thief was released.,Rzekomy złodziej został zwolniony.,She denied the allegations of wrongdoing.,"Claimed or supposed, often without proof or evidence. Can be used to describe accusations or rumors."
298,He was put in detention.,Został aresztowany.,The school implemented after-school detention for misbehaving students.,"The act of holding someone in custody or confinement, often as part of a legal or disciplinary process."
299,He was implicated in the crime.,Był zamieszany w przestępstwo.,She refused to be implicated in the cover-up.,"Involved or connected with a particular situation or event, often in a negative or incriminating way. Can be used to describe the association or responsibility of a person or group in a particular matter."
300,According to the report...,Według raportu...,"According to the weather forecast, it was going to rain all day.","In agreement with or following a particular standard, rule, or expectation. Can be used to describe the accordance or conformity of something with a particular principle or guideline."
301,She was born deaf.,Urodziła się głucha.,The concert was made accessible to the deaf with sign language interpreters.,"Unable to hear, either partially or completely. Can refer to a physical condition or a lack of awareness or sensitivity to a particular issue or situation."
302,The burden of responsibility was overwhelming.,Obciążenie odpowiedzialnością było przytłaczające.,The workers were struggling under the burden of heavy workloads.,"A heavy or oppressive load, either physical or metaphorical. Can refer to a responsibility, duty, or problem that is difficult to bear or manage."
303,He felt miserable after the breakup.,Czuł się nieszczęśliwy po rozstaniu.,The conditions in the refugee camp were miserable.,"Extremely unhappy or wretched, often due to external circumstances. Can refer to a person or a situation."
304,The answer was in his subconscious mind.,Odpowiedź była w jego podświadomości.,She tried to access her subconscious through meditation.,"The part of the mind that operates below the level of conscious awareness. Can influence thoughts, feelings, and behaviors without being consciously recognized or acknowledged."
305,The pain was unbearable.,Ból był nie do zniesienia.,"The heat in the building was unbearable, so they had to cancel the event.","Too unpleasant or difficult to endure, often to the point of being intolerable. Can refer to physical or emotional pain or discomfort."
306,He couldn't stop yawning during the boring lecture.,Nie mógł przestać ziewać na nudnym wykładzie.,The contagious yawn spread through the room as people tried to stifle their own yawns.,"To involuntarily open the mouth wide and inhale deeply, often as a sign of fatigue, boredom, or disinterest."
307,The flu is highly contagious.,Grypa jest bardzo zaraźliwa.,They advised people to wear masks to prevent the spread of the contagious virus.,"Easily spread or transmitted, particularly in the context of infectious diseases or emotional states like laughter or fear."
308,I need to get rid of this old couch.,Muszę pozbyć się tego starego kanapy.,She finally managed to get rid of the annoying telemarketer.,"To eliminate or dispose of something or someone, often in order to alleviate a burden or problem."
309,What's your schedule like tomorrow?,Jaki masz harmonogram na jutro?,She wrote out a detailed schedule to keep track of her daily tasks.,A plan or timetable for a particular set of activities or events. Can refer to personal or professional schedules.
310,"Don't overdo it with the hot sauce, it's very spicy.","Nie przesadzaj z sosem chili, jest bardzo pikantny.",He overdid it with the exercise and ended up injuring himself.,"To do something to an excessive or extreme degree, often to the point of being harmful or counterproductive."
311,He gave the ball a hard whack with the bat.,Uderzył piłkę mocnym walnięciem kijem.,The whack on the head left a large bruise.,"A sharp or forceful blow or strike, often with a hand or a blunt object."
312,The appeal court ruled in his favor.,Sąd apelacyjny orzekł na jego korzyść.,The charity made an appeal for donations to help the homeless.,"To make a request or appeal for something, particularly in a persuasive or convincing manner. Can refer to legal or personal appeals."
313,The beauty of the sunset was ephemeral.,Piękno zachodu słońca było efemeryczne.,The artist created an ephemeral installation that only existed for a brief period of time.,"Lasting only for a short time or existing only briefly. Can refer to physical objects, experiences, or emotions."
314,He was completely munted after a night of heavy drinking.,Był całkowicie oszołomiony po ciężkim piciu.,The jet lag left her feeling munted and unable to focus.,"Confused, disoriented, or impaired, particularly due to the effects of drugs or alcohol."
315,She travels oversea for work.,Ona podróżuje za granicą służbowo.,He dreamed of a life spent traveling oversea and seeing the world.,"In or to a foreign country, particularly one that is across the sea or ocean."
316,The smell was very unpleasant.,Zapach był bardzo nieprzyjemny.,The meeting was filled with unpleasant confrontations and arguments.,"Not pleasant or enjoyable, often due to being uncomfortable, unappealing, or upsetting."
317,She was aware of the risks involved.,Była świadoma związanych z tym ryzyk.,He wasn't aware of the impact his words were having on the people around him.,Having knowledge or understanding of a particular fact or situation. Can refer to personal awareness or awareness of broader issues or trends.
318,He's gullible enough to believe anything anyone tells him.,"Jest na tyle łatwowierny, że uwierzyłby we wszystko.",She knew he was gullible and could be easily manipulated.,"Easily fooled or deceived, particularly due to being naive or trusting."
319,The smell of the freshly baked cookies tempted her.,Zapach świeżo upieczonych ciastek kusił ją.,"The offer of a promotion was tempting, but she decided to stay at her current job.","To attract or entice someone to do something, particularly something that is wrong, risky, or harmful."
320,We conducted a survey to gather customer feedback.,"Przeprowadziliśmy ankietę, aby pozyskać opinię klientów.",The survey revealed that most people were satisfied with the service they received.,"A set of questions or inquiries used to gather information or opinions from a particular group of people. Can be conducted in person, online, or through other forms of communication."
321,"Don't bother yourself with that, it's not important.","Nie zawracaj sobie tym głowy, to nie jest ważne.","I didn't want to bother her, so I tried to figure it out myself.","To cause trouble, annoyance, or inconvenience, particularly to someone else. Can also refer to feeling troubled or concerned about a particular issue or situation."
322,"It's chilly outside, you should wear a coat.","Na zewnątrz jest chłodno, powinieneś założyć płaszcz.",She always found his chilly demeanor off-putting.,"Uncomfortably cool or cold, particularly in reference to the weather or temperature of a space. Can also refer to someone's demeanor or behavior."
323,I owe my success to my hard work and dedication.,Swoje sukcesy zawdzięczam ciężkiej pracy i poświęceniu.,He owes his life to the quick thinking of the first responders who saved him from the fire.,"To be under an obligation to repay or make amends for something, particularly a debt or a favor."
324,The doctor was compassionate and caring towards his patients.,Lekarz był współczujący i troskliwy wobec swoich pacjentów.,The compassionate response from the community was overwhelming after the natural disaster.,"Feeling or showing sympathy, empathy, or concern for the suffering or misfortune of others. Can refer to people, actions, or attitudes."
325,The chamberlain announced the arrival of the king.,Szambelan ogłosił przybycie króla.,The chamberlains were responsible for the day-to-day running of the palace.,An officer or servant responsible for managing the household or personal affairs of a monarch or noble.
326,The video went viral and was shared millions of times.,Wideo stało się wirusowe i zostało udostępnione miliony razy.,The viral outbreak was spreading quickly and the authorities were struggling to contain it.,"Pertaining to or caused by a virus, particularly in the context of diseases or infections. Can also refer to content or media that spreads rapidly and widely through social media or other online platforms."
327,She slowly revealed the surprise that she had been planning.,"Powoli odsłaniała niespodziankę, którą planowała.",The investigation revealed that the company had been engaging in illegal activities for years.,"To make something known or visible that was previously hidden or unknown, particularly in reference to information, secrets, or emotions."
328,He picked a bunch of flowers for his mother.,Zbierał wiązkę kwiatów dla swojej matki.,She tied a bunch of balloons to the mailbox to celebrate his birthday.,"A collection or group of something, particularly if it is clustered or gathered together. Can refer to physical objects, people, or ideas."
329,They conducted a poll to determine the most popular candidate.,"Przeprowadzili ankietę, aby określić najpopularniejszego kandydata.",The results of the poll showed that the incumbent was trailing behind his challenger.,A survey or vote taken to gather opinions or preferences from a particular group of people. Can refer to political polls or surveys conducted by businesses or organizations.
330,His recklessness put his life in jeopardy.,Jego lekkomyślność naraziła jego życie na niebezpieczeństwo.,The mission was fraught with danger and the soldiers knew that they were in jeopardy at all times.,"A state of danger or risk, particularly if it involves the possibility of harm or loss."
331,He tried to retrieve the lost document from his computer.,Próbował odzyskać utracony dokument z komputera.,She was able to retrieve the stolen painting and return it to its rightful owner.,"To recover or regain something that was lost or taken away, particularly if it is physical or tangible. Can also refer to retrieving information or memories."
332,"Although it was raining, he decided to go for a walk.","Mimo, że padał deszcz, zdecydował się pójść na spacer.","Although she was exhausted, she knew she had to finish the project by the deadline.","Despite the fact that, or in spite of. Used to introduce a contrasting or qualifying clause or phrase."
333,He enlisted in the army when he was 18 years old.,"Zwerbował się do wojska, kiedy miał 18 lat.",The company was trying to enlist new customers by offering them a discount on their first purchase.,"To formally enroll or join a particular organization or cause, particularly if it involves military or civic duty."
334,The food rations were scanty and barely enough to sustain them.,"Racje żywnościowe były ubogie i ledwo wystarczały, by ich utrzymać.",The evidence against the suspect was scanty and the case was eventually dropped.,"Insufficient or meager in quantity or amount, often to the point of being inadequate or insufficient."
335,He tightened the strap on his backpack before setting off.,Zaciągnął pasek na plecaku przed wyruszeniem.,The strap on her sandals broke and she had to walk barefoot for the rest of the day.,"A long, narrow piece of material used to fasten, secure, or carry something, particularly if it is made of leather or other durable material."
336,The town was policed by a group of vigilantes.,Miasto było patrolowane przez grupę czujnych.,"The vigilantes patrolled the streets at night, keeping the town safe from criminals.",A member of a self-appointed group of citizens who undertake law enforcement in their community without legal authority.
337,She had a brief affair with a coworker.,Miała krótki romans z kolegą z pracy.,The scandalous affair between the politician and his intern was exposed in the media.,"A romantic or sexual relationship, particularly one that is secret or illicit. Can also refer to a matter or issue that is of concern or importance"
338,He quenched his thirst with a cold glass of water.,Ugasił pragnienie zimnym szklanką wody.,The thirst for adventure led him to travel to remote and exotic places.,"A strong desire or craving for something, particularly for water or other liquids in the context of physical thirst, or for achievement, success, or satisfaction in the context of metaphorical thirst."
339,The scattered papers on her desk made it difficult to find anything.,Porozrzucane papiery na jej biurku utrudniały znalezienie czegokolwiek.,The scattered debris after the storm made it difficult to drive through the streets.,"Spread out or dispersed over a wide area, often in a disorganized or random fashion. Can refer to physical objects, people, or ideas."
340,He was certain that he had left his keys on the kitchen counter.,"Był pewny, że zostawił swoje klucze na blacie kuchennym.",She was certain that he would come back and apologize for his rude behavior.,"Known or established without doubt, particularly in reference to a fact, event, or outcome. Can also refer to a particular quality or characteristic of something."
341,He made a decent living as a freelance writer.,Zarabiał przyzwoicie jako pisarz freelancer.,The hotel offered decent accommodations at a reasonable price.,"Conforming to accepted standards of behavior or morality, often in reference to people or their actions. Can also refer to the quality or condition of something."
342,"Despite the rain, they went for a picnic.","Pomimo deszczu, poszli na piknik.","Despite the difficulties, they were able to complete the project on time.","In spite of, or despite the fact that something exists or has happened. Often used to introduce a contrasting or qualifying clause or phrase."
343,She skied down the slope at breakneck speed.,Zjeżdżała na nartach ze stoku z zawrotną prędkością.,The slope of the hill made it difficult to climb to the top.,"An incline or gradient in the terrain, particularly in reference to a hill or mountain. Can also refer to a decline or downward trend in a quantity or value."
344,The slope of the hill was too steep to climb.,"Stok wzgórza był zbyt stromy, aby go wspiąć się.",We slid down the slope on our sleds.,"A quantity of work or labor that is expected or required, particularly in a specific field or industry."
345,"I gotta go now, I have a meeting in 10 minutes.","Muszę już iść, mam spotkanie za 10 minut.","If you wanna succeed, you gotta work hard and stay focused.","Must, have to, or need to do something, often in a colloquial or informal context."
346,The plunder of the ancient city was a tragedy for its people.,Plądrowanie starożytnego miasta było tragedią dla jego mieszkańców.,"The pirates sailed away with their plunder, leaving the small village in ruins.","To steal or loot goods or valuables, particularly in the context of war or other violent conflicts. Can also refer to taking advantage of or exploiting something or someone for one's own benefit."
347,The meaning of the poem was obscure and difficult to decipher.,Znaczenie wiersza było niejasne i trudne do rozszyfrowania.,The obscure references in the book made it difficult for the average reader to fully understand its message.,"Unclear, difficult to understand, or hidden from view or knowledge. Can refer to information, language, or objects."
348,The sound of the whip cracking echoed through the forest.,Odgłos chłosty roznosił się echem przez las.,"The slave master whipped his workers to force them to work harder, causing many injuries and scars.","A long, narrow strip of material used for striking or beating, often in the context of punishment or discipline. Can also refer to a political party's member of Congress responsible for ensuring party discipline and maintaining unity on legislative issues."
349,"Can you fetch me a glass of water, please?",Czy możesz mi przynieść szklankę wody?,She sent her son to fetch the mail from the mailbox at the end of the driveway.,"To go and get something or someone, particularly if it involves traveling or retrieving something from a distance."
350,The history of humankind is full of wars and conflicts.,Historia ludzkości jest pełna wojen i konfliktów.,The survival of humankind depends on our ability to protect the environment and live sustainably.,"The human race or species as a whole, particularly in reference to its characteristics, history, or achievements."
351,He felt a kindred connection with his distant relatives.,Czuł pokrewną więź z dalekimi krewnymi.,The kindred spirits shared a passion for music and spent many evenings playing together.,"Related by blood or ancestry, or having similar characteristics, qualities, or interests."
352,The wool sweater shrunk in the dryer and no longer fit him.,Sweter z wełny się skurczył w suszarce i już mu nie pasował.,The shrinking economy led to job losses and financial insecurity for many people.,"To become smaller in size or quantity, particularly if it is caused by drying, heating, or other physical processes."
353,The ferocity of the storm caused widespread damage and destruction.,Dzikość burzy spowodowała rozległe zniszczenia i zniszczenia.,"The ferocity of the attack left many people injured and traumatized, unable to recover from the violence.","Extreme or intense aggression, violence, or brutality, particularly in reference to animals or people."
354,The distinguished gentleman was well-respected in his community.,Wytworny dżentelmen był szanowany w swojej społeczności.,The distinguished professor had published many groundbreaking papers in his field of study.,"Respected, successful, or accomplished in one's field or profession, often in reference to a person's achievements, appearance, or demeanor."
355,"There was no malice in her words, she was just being honest.","Nie było złośliwości w jej słowach, po prostu mówiła szczerze.",The malice in his heart made it impossible for him to forgive and move on from the past.,"A desire to harm or cause suffering to others, often motivated by hatred or envy. Can refer to an attitude or action."
356,The gloom of the rainy day made him feel sad and lethargic.,"Mrok deszczowego dnia sprawił, że poczuł się smutny i ospały.",The gloom of the winter months often leads to seasonal depression and a lack of motivation.,"A state of darkness, depression, or sadness, often caused by difficult circumstances or events. Can also refer to a feeling of pessimism or despair about the future."
357,"The cat crept silently through the grass, stalking its prey.","Kot skradał się cicho przez trawę, polując na swoją zdobycz.","The fear crept into his mind, making it difficult for him to focus on anything else.","Moved slowly and quietly, often in a stealthy or sneaky manner. Can refer to physical movement or the gradual development of a situation or idea."
358,The rumor of his resignation spread quickly throughout the office.,Plotka o jego rezygnacji szybko rozeszła się po całym biurze.,The rumor of the impending layoffs caused a lot of anxiety and uncertainty among the employees.,"An unverified or unsubstantiated story or piece of information, often spread by word of mouth or through social media. Can also refer to a false or misleading account of events."
359,It took her a while to perceive the subtle changes in his behavior.,"Zajęło jej to chwilę, żeby dostrzec subtelne zmiany w jego zachowaniu.","He couldn't perceive the danger until it was too late, and he found himself in a dangerous situation.","To become aware of something through the senses or through analysis or observation, particularly if it is not immediately obvious or clear."
360,She intended to go to law school after finishing her undergraduate degree.,Zamierzała pójść na studia prawnicze po ukończeniu studiów licencjackich.,"He intended to finish the project by the end of the week, but unforeseen obstacles caused delays and setbacks.","To have a specific plan or purpose in mind, often in reference to an action or goal."
361,The humming of the refrigerator was a constant background noise in the kitchen.,Brzęczenie lodówki było stałym szumem w tle w kuchni.,The humming of the bees was a peaceful sound that brought a sense of calm to the garden.,"The act of making a low, continuous sound or vibration, often through the mouth or nose. Can also refer to the sound of a machine or other object."
362,The eager children waited in line for hours to meet their favorite superhero.,"Żądne dzieci czekały w kolejce przez godziny, aby spotkać swojego ulubionego superbohatera.",He was eager to start his new job and make a good impression on his coworkers and superiors.,"Enthusiastic, excited, or motivated to do something, often with a sense of anticipation or eagerness."
363,She couldn't help but grin when she saw the puppy playing in the park.,"Nie mogła powstrzymać się od uśmiechu, gdy zobaczyła szczeniaczka bawiącego się w parku.",The little boy had a huge grin on his face when he saw his birthday cake with his favorite cartoon character on it.,"To smile broadly, often showing one's teeth, in a way that expresses pleasure, amusement, or satisfaction."
364,The job requires a lot of patience and attention to detail.,Praca wymaga dużo cierpliwości i uwagi do szczegółów.,"The project requires a team effort, and everyone needs to work together to achieve the desired outcome.","To need or demand something as necessary or essential, often in reference to a particular task, job, or situation."
365,The queen's reign was marked by stability and prosperity.,Rządy królowej charakteryzowały się stabilnością i dobrobytem.,"During the reign of the dinosaurs, the world was a very different place than it is today.","To hold supreme power or authority over a particular area or domain, particularly in reference to a monarch or other ruler."
366,His collection of rare coins was his most valuable asset.,Jego kolekcja rzadkich monet była jego najcenniejszym aktywem.,Her experience working in a similar industry was seen as a valuable asset by her new employer.,"A useful or valuable thing or person that can be used to one's advantage, particularly in reference to property, possessions, or skills."
367,The company is planning to develop a new line of products.,Firma planuje rozwijać nową linię produktów.,The scientist's research helped to develop new treatments for a variety of diseases.,"To grow or advance over time, particularly in reference to skills, ideas, or technology. Can also refer to the process of creating or improving something."
368,The students ridiculed the new kid for his funny accent.,Studenci wyśmiewali nowego chłopaka za jego zabawny akcent.,The politician was the target of ridicule after his embarrassing gaffe during the live television interview.,"To mock or make fun of someone or something in a derisive or insulting manner, often with the intention of causing humiliation or embarrassment."
369,The critics derided the movie for its poor acting and weak storyline.,Krytycy wyśmiewali film za słabe aktorstwo i słabą fabułę.,The coach derided the players for their lack of effort during the game.,"To express contempt for or ridicule someone or something, often in a mocking or insulting manner."
370,"The rain stopped, mercifully, just as we were about to start our outdoor event.","Deszcz zatrzymał się, miłosiernie, gdy mieliśmy zacząć nasze wydarzenie na zewnątrz.","Mercifully, no one was hurt in the accident, but the car was completely totaled.","In a way that shows compassion, kindness, or forgiveness, particularly in the context of sparing someone from harm or punishment."
371,"She tried to smooth out the wrinkles in her dress, but it only caused more muss.","Próbowała wyprostować zagięcia w sukience, ale tylko spowodowała więcej zamieszania.",The partygoers created quite a muss with their dancing and drinking.,"A state of disarray, confusion, or disorder, often caused by disorganized or chaotic behavior. Can also refer to the act of making something untidy or messy."
372,She's always been a bit uptight and never likes to let her guard down.,Zawsze była trochę napięta i nigdy nie lubiła robić sobie przerwy.,"He was feeling uptight before the big presentation, but a quick pep talk from a colleague helped to calm his nerves.","Tense, anxious, or nervous, often due to stress or worry. Can also refer to someone who is overly strict or rigid in their behavior or beliefs."
373,She went gaga over the new pop star and couldn't stop talking about him.,Uwiodła się na nową gwiazdę popu i nie mogła przestać o nim mówić.,The fans went gaga when their favorite team won the championship game.,"Mentally confused or disoriented, often due to excessive excitement or enthusiasm. Can also refer to someone who is foolish or eccentric in their behavior."
374,The company is trying to exact payment from its customers.,Firma próbuje wymusić płatność od swoich klientów.,The dictator was known to exact harsh punishments for even the smallest offenses.,"To demand or require something from someone with force or authority, often in a harsh or uncompromising manner."
375,"The hotel was decorated in a simple, unobtrusive style.","Hotel był urządzony w prostym, nie rzucającym się w oczy stylu.","The camera was designed to be unobtrusive, allowing photographers to take candid shots without drawing attention.","Not noticeable or conspicuous, often in a positive sense. Can refer to something that blends in with its surroundings or is subtle in its appearance or behavior."
376,The electronic components were encased in plastic to protect them from damage.,"Komponenty elektroniczne były zamknięte w plastikowej obudowie, aby je chronić przed uszkodzeniem.",The statue was encased in glass to protect it from vandals and the elements.,"Covered or surrounded by a protective or decorative covering or casing, often made of metal or plastic. Can refer to a variety of objects, from electronics to food."
377,The politician was accused of stealing taxpayer's brass.,Polityk został oskarżony o kradzież hajsu podatników.,"He was offered a job in the brass, but turned it down because he didn't want to work in that industry.","Slang term for money or wealth, often used in reference to a person's financial resources or success. Can also refer to a type of metal alloy composed of copper and zinc."
378,"During the Vietnam War, many young men burned their draft cards in protest.",Podczas wojny w Wietnamie wielu młodych mężczyzn spaliło swoje wezwania na wojnę.,He lost his draft card and had to go through a long and frustrating process to get a replacement.,A government-issued document requiring a person to report for military service in times of war or national emergency. Draft cards were used in the United States during the Vietnam War.
379,She picked a piece of food from her teeth with a toothpick.,Wybrała kawałek jedzenia z zębów wykałaczką.,He absentmindedly chewed on a toothpick as he thought about his next move.,"A small, pointed stick or sliver of wood or plastic used to remove food particles from between teeth. Can also refer to a decorative or functional item used in crafts or woodworking."
380,The workers chained the gate shut to prevent anyone from entering.,"Robotnicy zapięli łańcuchem bramę, żeby nikt nie mógł wejść.",The bicycle was chained to the lamppost to prevent it from being stolen.,"To fasten or secure something with a chain, often for the purposes of security or restraint. Can also refer to a metaphorical or symbolic act of constraining or limiting something."
381,His plan was so ludicrous that no one took him seriously.,"Jego plan był tak absurdalny, że nikt nie brał go na poważnie.","The idea of trying to build a house out of toothpicks seemed ludicrous to most people, but he was determined to try.","So foolish, unreasonable, or outlandish as to be worthy of ridicule or mockery. Often used to describe something that is implausible or absurd."
382,The candy was flavored with licorice.,Cukierki były smakowane lukrecją.,"Some people love the taste of licorice, while others find it too strong and overpowering.","A sweet, chewy confection flavored with the extract of the licorice plant. Can also refer to the plant itself or to the root of the plant, which is used in herbal remedies and traditional medicine."
383,He brought home a special treat for his wife to celebrate their anniversary.,"Przyniósł żonie specjalny poczęstunek, żeby uczcić ich rocznicę.","Going to the movies was always a treat for them, something they looked forward to all week.","A special or enjoyable experience, often involving food or drink, that is given as a reward or as a way of showing appreciation or affection. Can also refer to a medical or therapeutic procedure."
384,The meeting ended abruptly when the fire alarm went off.,"Spotkanie zakończyło się gwałtownie, kiedy zadzwonił alarm przeciwpożarowy.",She stopped talking abruptly when she realized that she had said something she shouldn't have.,"Suddenly and without warning, often in a way that is unexpected or surprising. Can also refer to an action or decision that is done in a harsh or rude manner."
385,The fireplace was covered in soot from all the fires that had been lit there.,"Kominek był pokryty sadzą od wszystkich ognisk, które tam płonęły.","The old house was full of dust and soot, but they could see the potential underneath all the grime.","A black, powdery substance consisting of carbon and other compounds that is produced by the incomplete combustion of organic matter. Can be found in chimneys, fireplaces, and other areas where wood or coal is burned."
386,He was a high school dropout who had to work long hours just to make ends meet.,"Porzucił szkołę średnią i musiał pracować długie godziny, żeby wiązać koniec z końcem.","Despite dropping out of college, she was able to build a successful career through hard work and determination.",A person who leaves school before completing their education or obtaining a degree. Can also refer to someone who withdraws from a program or activity before completing it.
387,His outfit was so ridiculous that people couldn't help but laugh.,"Jego strój był tak ekstrawagancko zabawny, że ludzie nie mogli powstrzymać śmiechu.","The idea of a giant, inflatable unicorn as a mascot for the company seemed ridiculous at first, but it turned out to be a huge hit.","Laughably absurd or unreasonable, often in a way that is exaggerated or over-the-top. Can also refer to someone or something that is deserving of ridicule or mockery."
388,She liked to soak her feet in warm water after a long day at work.,Lubiła moczyć swoje stopy w ciepłej wodzie po długim dniu pracy.,"After hiking through the mud all day, they were grateful to soak their sore feet in a hot tub at the end of the trail.","To immerse or saturate something in a liquid, often for the purposes of cleaning or softening. Can also refer to the act of absorbing or taking in a liquid."
389,"Don't be such an aleck, just answer the question.","Nie bądź taki mądrala, po prostu odpowiedz na pytanie.","His friends always called him an aleck because he thought he knew everything, but he didn't mind too much.","A slang term for someone who is overly clever or smug, often in an annoying or obnoxious way."
390,"She took a cautious approach to the new project, wanting to avoid any mistakes.","Podszedł ostrożnie do nowego projektu, chcąc uniknąć jakichkolwiek błędów.","They decided to approach the problem from a new angle, and it turned out to be the solution they had been looking for all along.","The act of coming closer or nearer to something, often with the intention of initiating contact or interaction. Can also refer to a particular method or strategy for accomplishing something."
391,"Dealing with all the paperwork was a real hassle, but it had to be done.","Zajmowanie się całą tą papierkową robotą było naprawdę kłopotliwe, ale trzeba było to zrobić.","Getting a visa for the trip was a hassle, but it was worth it to experience a new culture.","A problem or difficulty, often involving inconvenience or annoyance. Can also refer to a conflict or dispute between people or groups."
392,"The party was held in a very sophisticated venue, with elegant decorations.","Impreza odbyła się w bardzo wyrafinowanym miejscu, z elegancką dekoracją.",The software had a sophisticated algorithm that was able to analyze large amounts of data quickly and accurately.,"Cultured, refined, or elegant in manner or taste. Can also refer to something that is complex or advanced in its design or technology."
393,The restaurant is renowned for its delicious seafood dishes.,Restauracja słynie z pysznych dań z owoców morza.,"The artist was renowned for his paintings of the ocean, which captured the beauty and power of the sea.","Widely recognized or famous for a particular quality, achievement, or talent. Can refer to people, places, or things."
394,"He was admired for his prowess on the basketball court, where he was unstoppable.","Podziwiano go za jego waleczność na boisku koszykarskim, gdzie był nie do zatrzymania.","The soldiers were known for their prowess in battle, and they were feared by their enemies.","Exceptional skill, ability, or expertise in a particular field or activity. Often used to describe physical or athletic prowess, but can also refer to intellectual or creative abilities."
395,I have a sore tonsil and it hurts when I swallow.,Mam bolący migdałek i boli mnie przy połykaniu.,My sore tonsil is making it difficult to eat.,"A small, almond-shaped organ located in the back of the throat that plays a role in the immune system. Can also refer to the surgical removal of this organ."
396,I had to grope around in the dark to find the light switch.,"Musiałem błądzić po omacku w ciemności, aby znaleźć włącznik światła.",I grope for my phone in my bag.,"To search blindly or uncertainly for something, often using one's hands or other senses. Can also refer to an awkward or inappropriate attempt at physical contact."
397,The tower is leaning to one side.,Wieża przechyla się na jedną stronę.,He leaned against the wall.,To incline or rest against something for support or balance. Can also refer to a tendency or preference for a particular idea or viewpoint.
398,She brushed the dust off her clothes.,Otrzepała z siebie kurz ze swoich ubrań.,He brushed his teeth before going to bed.,To remove or clean something by rubbing or scrubbing it with a brush or other object. Can also refer to a brief or casual encounter with someone or something.
399,The police dispatcher received the emergency call.,Dyspozytor policji odebrał wezwanie w trybie nagłym.,The dispatcher sent a police car to the scene.,"A person or system responsible for directing or coordinating the movements of people or resources, often in response to emergency situations or transportation needs."
400,The bystanders watched as the ambulance arrived.,"Przechodnie patrzyli, jak przyjeżdża karetka pogotowia.",The bystanders helped the victim until the paramedics arrived.,A person who is present at an event or situation but is not directly involved or responsible. Can also refer to someone who witnesses a crime or other incident without taking action.
401,police precinct,komisariat policji,He works at the police precinct.,"A defined geographical area, often used in the context of law enforcement or politics."
402,relate to something,odnosić się do czegoś,I can relate to his situation.,"To establish a connection or link between two or more things or people, often used in the context of relationships or stories."
403,impose a curfew,wprowadzić godzinę policyjną,The curfew starts at 10 pm.,"A specific time at night when people are required by law to be off the streets, often used in the context of public safety."
404,human lung,ludzkie płuco,Smoking can damage your lungs.,"An internal organ responsible for breathing, often used in the context of anatomy or medical conditions."
405,disenfranchised people,pozbawieni praw ludzie,The law aimed to enfranchise the disenfranchised.,"People who have been deprived of the right to vote or other legal privileges, often used in the context of social justice."
406,everything is hunky-dory,wszystko jest klawo,"After the repair, everything was hunky-dory again.","A slang term used to describe something that is satisfactory or going well, often used in casual conversation."
407,run an errand,załatwić zadanie,I'm going on an errand to the store.,"A small task or job, often used in the context of running errands or completing chores."
408,women's lingerie,bielizna damska,She bought some new lingerie at the store.,"Women's underwear and nightwear, often used in the context of fashion or intimate apparel."
409,plants wither,rośliny usychają,The lack of water caused the plant to wither.,"To become dry and shriveled, often used in the context of plants or emotions."
410,pay off a debt,spłacić dług,He's in debt and needs to pay it off.,"Money that is owed or due, often used in the context of finance or personal finances."
411,condemned criminal,skazany przestępca,The condemned man was executed.,"To be sentenced or punished for a crime, often used in the context of the criminal justice system."
412,disposable razor,jednorazowa maszynka do golenia,Don't throw the disposable cup in the trash.,"Designed to be used once and then thrown away, often used in the context of products or packaging."
413,feel remorse,czuć skruchę/żal,He felt a deep sense of remorse for his actions.,"A feeling of regret or guilt for past actions, often used in the context of personal or moral responsibility."
414,resist temptation,oprzeć się pokusie,The temptation to eat the cake was too great.,"A desire or urge to do something that is often considered to be wrong or unwise, often used in the context of morality."
415,measure circumferentially,zmierzyć obwodowo,The pipe was measured circumferentially.,"Around the circumference or perimeter of something, often used in the context of geometry or engineering."
416,provide reinforcement,zapewnić wzmocnienie,The walls needed reinforcement to withstand the earthquake.,"The act of strengthening or providing additional support, often used in the context of psychology or behavior."
417,three-ply paper,papier trójwarstwowy,The tissue was made of three-ply paper.,"A layer or thickness of material, often used in the context of construction or manufacturing."
418,animal carcass,padlina zwierzęcia,The vultures were circling the carcass.,"The body of a dead animal, often used in the context of hunting or butchery."
419,social issue,zagadnienie społeczne,The government was addressing the issue of poverty.,"A topic or subject that is being discussed or debated, often used in the context of politics or social issues."
420,principal objective,główny cel,The principal reason for the failure was lack of funding.,"The most important or significant, often used in the context of education or business."
421,denial of responsibility,odmowa przyjęcia odpowiedzialności,He refused to accept the blame and offered only denial.,"The act of refusing to accept or acknowledge something, often used in the context of psychology or interpersonal relationships."
422,overwhelming response,przytłaczająca reakcja,The overwhelming majority voted in favor of the proposal.,"Extremely powerful or intense, often used in the context of emotions or situations."
423,emotional abuse,nadużycie emocjonalne,She suffered from years of emotional abuse.,"The mistreatment or exploitation of someone or something, often used in the context of power dynamics or substance use."
